Unnamed: 0,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
3034,3035,03/02/2020,,Indonesia,2020-03-02T18:03:04,2,0,0
3176,3177,03/03/2020,,Indonesia,2020-03-02T18:03:04,2,0,0
3337,3338,03/04/2020,,Indonesia,2020-03-02T18:03:04,2,0,0
3504,3505,03/05/2020,,Indonesia,2020-03-02T18:03:04,2,0,0
3672,3673,03/06/2020,,Indonesia,2020-03-06T12:33:03,4,0,0
3878,3879,03/07/2020,,Indonesia,2020-03-06T12:33:03,4,0,0
4102,4103,03/08/2020,,Indonesia,2020-03-08T10:03:13,6,0,0
4326,4327,03/09/2020,,Indonesia,2020-03-09T11:33:10,19,0,0
4590,4591,03/10/2020,,Indonesia,2020-03-10T12:53:02,27,0,2
4798,4799,03/11/2020,,Indonesia,2020-03-11T11:14:26,34,1,2
5018,5019,03/12/2020,,Indonesia,2020-03-11T11:14:26,34,1,2
5265,5266,03/13/2020,,Indonesia,2020-03-11T20:00:00,69,4,2
5453,5454,03/14/2020,,Indonesia,2020-03-14T22:53:02,96,5,8
5696,5697,03/15/2020,,Indonesia,2020-03-15T18:20:18,117,5,8
5960,5961,03/16/2020,,Indonesia,2020-03-16T14:38:45,134,5,8
6227,6228,03/17/2020,,Indonesia,2020-03-17T10:33:03,172,5,8
6497,6498,03/18/2020,,Indonesia,2020-03-18T10:53:02,227,19,11
6776,6777,03/19/2020,,Indonesia,2020-03-19T10:13:16,311,25,11
7070,7071,03/20/2020,,Indonesia,2020-03-20T14:43:04,369,32,15
7369,7370,03/21/2020,,Indonesia,2020-03-21T11:43:06,450,38,15
7686,7687,03/22/2020,,Indonesia,3/8/20 5:31,514,48,29
7984,7985,03/23/2020,,Indonesia,2020-03-23 23:23:20,579,49,30
8279,8280,03/24/2020,,Indonesia,2020-03-24 23:41:50,686,55,30
8579,8580,03/25/2020,,Indonesia,2020-03-25 23:37:49,790,58,31
8881,8882,03/26/2020,,Indonesia,2020-03-26 23:53:24,893,78,35
9188,9189,03/27/2020,,Indonesia,2020-03-27 23:27:48,1046,87,46
9495,9496,03/28/2020,,Indonesia,3/8/20 5:31,1155,102,59
9806,9807,03/29/2020,,Indonesia,3/8/20 5:31,1285,114,64
10118,10119,03/30/2020,,Indonesia,3/8/20 5:31,1414,122,75
10431,10432,03/31/2020,,Indonesia,2020-03-31 23:49:27,1528,136,81
10744,10745,04/01/2020,,Indonesia,2020-04-01 22:04:58,1677,157,103
11057,11058,04/02/2020,,Indonesia,4/2/20 8:53,1790,170,112
11372,11373,04/03/2020,,Indonesia,2020-04-03 22:52:45,1986,181,134
11687,11688,04/04/2020,,Indonesia,4/4/20 9:38,2092,191,150
12003,12004,04/05/2020,,Indonesia,2020-04-05 23:13:44,2273,198,164
12322,12323,04/06/2020,,Indonesia,4/6/20 9:37,2491,209,192
12642,12643,04/07/2020,,Indonesia,2020-04-07 23:11:31,2738,221,204
12962,12963,04/08/2020,,Indonesia,2020-04-08 22:59:00,2956,240,222
13282,13283,04/09/2020,,Indonesia,2020-04-09 23:09:19,3293,280,252
13602,13603,04/10/2020,,Indonesia,2020-04-10 23:01:43,3512,306,282
13923,13924,04/11/2020,,Indonesia,2020-04-11 22:52:46,3842,327,286
14244,14245,04/12/2020,,Indonesia,2020-04-12 23:25:00,4241,373,359
14564,14565,04/13/2020,,Indonesia,2020-04-13 23:15:42,4557,399,380
14884,14885,04/14/2020,,Indonesia,2020-04-14 23:41:11,4839,459,426
15204,15205,04/15/2020,,Indonesia,2020-04-15 23:04:26,5136,469,446
15524,15525,04/16/2020,,Indonesia,2020-04-16 23:38:19,5516,496,548
15844,15845,04/17/2020,,Indonesia,2020-04-17 23:38:48,5923,520,607
16164,16165,04/18/2020,,Indonesia,2020-04-18 22:40:18,6248,535,631
16484,16485,04/19/2020,,Indonesia,2020-04-19 23:49:05,6575,582,686
16804,16805,04/20/2020,,Indonesia,2020-04-20 23:44:50,6760,590,747
17124,17125,04/21/2020,,Indonesia,2020-04-21 23:39:09,7135,616,842
17444,17445,04/22/2020,,Indonesia,2020-04-22 23:38:57,7418,635,913
17763,17764,04/23/2020,,Indonesia,2020-04-24 03:31:35,7775,647,960
18083,18084,04/24/2020,,Indonesia,2020-04-25 06:31:19,8211,689,1002
18402,18403,04/25/2020,,Indonesia,2020-04-26 02:31:18,8607,720,1042
18721,18722,04/26/2020,,Indonesia,2020-04-27 02:31:20,8882,743,1107
19040,19041,04/27/2020,,Indonesia,2020-04-28 02:31:20,9096,765,1151
19361,19362,04/28/2020,,Indonesia,2020-04-29 02:32:29,9511,773,1254
19682,19683,04/29/2020,,Indonesia,2020-04-30 02:32:27,9771,784,1391
20004,20005,04/30/2020,,Indonesia,2020-05-01 02:32:28,10118,792,1522
20327,20328,05/01/2020,,Indonesia,2020-05-02 02:32:27,10551,800,1591
20650,20651,05/02/2020,,Indonesia,2020-05-03 02:32:28,10843,831,1665
20973,20974,05/03/2020,,Indonesia,2020-05-04 02:32:28,11192,845,1876
21296,21297,05/04/2020,,Indonesia,2020-05-05 02:32:34,11587,864,1954
21619,21620,05/05/2020,,Indonesia,2020-05-06 02:32:31,12071,872,2197
21942,21943,05/06/2020,,Indonesia,2020-05-07 02:32:28,12438,895,2317
22265,22266,05/07/2020,,Indonesia,2020-05-08 02:32:32,12776,930,2381
22588,22589,05/08/2020,,Indonesia,2020-05-09 02:32:35,13112,943,2494
22911,22912,05/09/2020,,Indonesia,2020-05-10 02:32:30,13645,959,2607
23234,23235,05/10/2020,,Indonesia,2020-05-11 02:32:30,14032,973,2698
23557,23558,05/11/2020,,Indonesia,2020-05-12 03:32:27,14265,991,2881
23880,23881,05/12/2020,,Indonesia,2020-05-13 03:32:26,14749,1007,3063
24203,24204,05/13/2020,,Indonesia,2020-05-14 03:32:28,15438,1028,3287
24526,24527,05/14/2020,,Indonesia,2020-05-15 02:33:02,16006,1043,3518
24903,24904,05/15/2020,,Indonesia,2020-05-16 02:32:19,16496,1076,3803
25280,25281,05/16/2020,,Indonesia,2020-05-17 02:32:32,17025,1089,3911
25657,25658,05/17/2020,,Indonesia,2020-05-18 02:32:21,17514,1148,4129
