Date,Open,High,Low,Close,Adj Close,Volume
2009-06-15,17580.099609,17675.400391,17437.199219,17580.099609,13088.861328,941910
2009-06-16,17056.000000,17389.500000,17008.400391,17056.000000,12698.655273,1057878
2009-06-17,17008.400391,17199.000000,16865.500000,17008.400391,12663.214844,1654508
2009-06-18,17008.400391,17056.000000,15531.500000,15912.599609,11847.361328,2275277
2009-06-19,15912.599609,16198.500000,15198.000000,15912.599609,11847.361328,2802642
2009-06-22,15817.299805,16103.200195,15626.799805,15817.299805,11776.410156,905703
2009-06-23,15340.900391,16674.900391,14578.599609,16674.900391,12414.915039,3733007
2009-06-24,16960.699219,17389.500000,16436.699219,16960.699219,12627.701172,1593114
2009-06-25,16960.699219,17246.599609,16770.199219,16960.699219,12627.701172,3362016
2009-06-26,16674.900391,17246.599609,16674.900391,16674.900391,12414.915039,1307130
2009-06-29,16293.799805,16674.900391,16198.500000,16293.799805,12131.173828,605551
2009-06-30,16055.500000,16674.900391,16055.500000,16055.500000,11953.755859,1217924
2009-07-01,16674.900391,16674.900391,16103.200195,16674.900391,12414.915039,574067
2009-07-02,16770.199219,16913.099609,16436.699219,16627.199219,12379.399414,515296
2009-07-03,16627.199219,16627.199219,16198.500000,16627.199219,12379.399414,218292
2009-07-06,16293.799805,16627.199219,16103.200195,16293.799805,12131.173828,840635
2009-07-07,16389.000000,16532.000000,16246.099609,16389.000000,12202.056641,667471
2009-07-08,16389.000000,16389.000000,16389.000000,16389.000000,12202.056641,0
2009-07-09,16055.500000,16674.900391,15960.299805,16055.500000,11953.755859,2234872
2009-07-10,16055.500000,16436.699219,15722.000000,15865.000000,11811.923828,1466651
2009-07-13,15245.599609,15865.000000,14959.799805,15245.599609,11350.762695,1979848
2009-07-14,15531.500000,15674.400391,15293.299805,15531.500000,11563.624023,1648736
2009-07-15,16007.900391,16246.099609,15436.200195,16007.900391,11918.315430,4279788
2009-07-16,15817.299805,16389.000000,15769.700195,15817.299805,11776.410156,3687880
2009-07-17,15769.700195,15769.700195,15340.900391,15769.700195,11740.968750,3551447
2009-07-20,15769.700195,15769.700195,15769.700195,15769.700195,11740.968750,0
2009-07-21,16103.200195,17675.400391,16103.200195,17580.099609,13088.861328,9190839
2009-07-22,17151.300781,17723.000000,17008.400391,17151.300781,12769.607422,3029855
2009-07-23,17056.000000,17294.199219,16865.500000,17056.000000,12698.655273,1353832
2009-07-24,17056.000000,17341.900391,17008.400391,17056.000000,12698.655273,2469956
2009-07-27,17056.000000,17341.900391,16913.099609,17056.000000,12698.655273,1195885
2009-07-28,17484.800781,17532.500000,17008.400391,17484.800781,13017.908203,2469431
2009-07-29,17866.000000,18151.800781,17246.599609,17866.000000,13301.721680,7683258
2009-07-30,18199.500000,18247.099609,17866.000000,18199.500000,13550.018555,2667259
2009-07-31,18390.000000,18580.599609,18199.500000,18390.000000,13691.853516,2709238
2009-08-03,18247.099609,18723.500000,18104.199219,18247.099609,13585.458008,1095134
2009-08-04,18247.099609,18723.500000,18199.500000,18247.099609,13585.458008,2365008
2009-08-05,18056.500000,18485.300781,17961.199219,18056.500000,13443.551758,1928948
2009-08-06,18390.000000,18533.000000,17818.300781,18390.000000,13691.853516,1796713
2009-08-07,18390.000000,18437.699219,18199.500000,18390.000000,13691.853516,874219
2009-08-10,18675.900391,20105.199219,18580.599609,20105.199219,14968.866211,5140363
2009-08-11,20057.500000,21343.900391,20057.500000,21105.699219,15713.761719,4249877
2009-08-12,21058.000000,21343.900391,20105.199219,20867.400391,15536.345703,2227526
2009-08-13,21391.500000,23011.400391,21153.300781,21391.500000,15926.549805,5551235
2009-08-14,21915.599609,22058.500000,21153.300781,21915.599609,16316.756836,1782020
2009-08-18,21248.599609,21248.599609,18723.500000,21248.599609,15820.157227,2888699
2009-08-19,21343.900391,21725.000000,20057.500000,20152.800781,15004.304688,3114338
2009-08-20,20200.400391,20915.099609,20105.199219,20200.400391,15039.745117,1687567
2009-08-21,20105.199219,20438.699219,19914.599609,20105.199219,14968.866211,1233141
2009-08-24,21058.000000,21296.199219,20629.199219,21058.000000,15678.252930,1992966
2009-08-25,21058.000000,21296.199219,20724.500000,21058.000000,15678.252930,973395
2009-08-26,21058.000000,21153.300781,20724.500000,21058.000000,15678.252930,436585
2009-08-27,20629.199219,20867.400391,20295.699219,20629.199219,15358.994141,1057353
2009-08-28,20581.599609,20867.400391,20391.000000,20581.599609,15323.555664,713648
2009-08-31,20486.300781,20676.900391,20248.099609,20486.300781,15252.605469,909901
2009-09-01,20200.400391,20486.300781,20009.900391,20200.400391,15039.745117,1628271
2009-09-02,19342.900391,19724.000000,19247.599609,19342.900391,14401.312500,1948888
2009-09-03,19724.000000,20105.199219,19152.300781,19724.000000,14685.051758,1215825
2009-09-04,19914.599609,20105.199219,19724.000000,19914.599609,14826.958008,771894
2009-09-07,20009.900391,20200.400391,19581.099609,20009.900391,14897.913086,792359
2009-09-08,20533.900391,20533.900391,19771.699219,20533.900391,15288.043945,1896414
2009-09-09,20248.099609,20676.900391,20248.099609,20248.099609,15075.257813,1150757
2009-09-10,20200.400391,20438.699219,19914.599609,20200.400391,15039.745117,2707139
2009-09-11,19914.599609,20295.699219,19914.599609,19914.599609,14826.958008,1086214
2009-09-14,19628.699219,19628.699219,19199.900391,19485.800781,14507.708008,2491470
2009-09-15,19485.800781,19676.400391,19485.800781,19485.800781,14507.708008,1446186
2009-09-16,19962.199219,20200.400391,19581.099609,19962.199219,14862.400391,2368681
2009-09-17,19962.199219,20486.300781,19962.199219,19962.199219,14862.400391,2195516
2009-09-24,19866.900391,20248.099609,19628.699219,19866.900391,14791.445313,1999788
2009-09-25,20105.199219,20152.800781,19485.800781,20105.199219,14968.866211,677965
2009-09-28,19676.400391,20009.900391,19676.400391,19676.400391,14649.612305,321141
2009-09-29,19866.900391,20009.900391,19771.699219,19866.900391,14791.445313,440782
2009-09-30,20057.500000,20438.699219,19771.699219,20057.500000,14933.351563,2221753
2009-10-01,19914.599609,20200.400391,19819.300781,19914.599609,14826.958008,2394393
2009-10-02,19962.199219,20009.900391,19533.400391,19962.199219,14862.400391,1126094
2009-10-05,19771.699219,19866.900391,19581.099609,19771.699219,14720.564453,1445137
2009-10-06,20009.900391,20200.400391,19819.300781,20009.900391,14897.913086,2033896
2009-10-07,20343.400391,20581.599609,20105.199219,20343.400391,15146.210938,2731277
2009-10-08,20152.800781,20438.699219,20009.900391,20152.800781,15004.304688,532612
2009-10-09,20105.199219,20343.400391,19866.900391,20105.199219,14968.866211,346329
2009-10-12,20152.800781,20438.699219,20105.199219,20152.800781,15004.304688,947158
2009-10-13,20819.800781,20962.699219,20343.400391,20819.800781,15500.906250,3119061
2009-10-14,21629.699219,21677.400391,20962.699219,21629.699219,16103.896484,4683838
2009-10-15,21534.400391,22296.699219,21439.099609,21534.400391,16032.945313,3393500
2009-10-16,21439.099609,21677.400391,21153.300781,21439.099609,15961.989258,861100
2009-10-19,21534.400391,21582.099609,21105.699219,21534.400391,16032.945313,900980
2009-10-20,21439.099609,21725.000000,21248.599609,21439.099609,15961.989258,527365
2009-10-21,21391.500000,21439.099609,21010.400391,21391.500000,15926.549805,863724
2009-10-22,20724.500000,21439.099609,20152.800781,20724.500000,15429.954102,2360285
2009-10-23,20962.699219,21105.699219,20581.599609,20962.699219,15607.296875,1205855
