Date,Open,High,Low,Close,Adj Close,Volume
2009-06-15,375.000000,390.000000,365.000000,375.000000,315.210754,55438500
2009-06-16,365.000000,370.000000,350.000000,365.000000,306.805206,46804000
2009-06-17,365.000000,370.000000,355.000000,365.000000,306.805206,39735500
2009-06-18,350.000000,365.000000,345.000000,350.000000,294.196686,28523000
2009-06-19,350.000000,360.000000,330.000000,350.000000,294.196686,16479500
2009-06-22,335.000000,355.000000,330.000000,335.000000,281.588257,14958500
2009-06-23,305.000000,320.000000,300.000000,305.000000,256.371429,45196000
2009-06-24,305.000000,335.000000,305.000000,335.000000,281.588257,65007500
2009-06-25,345.000000,350.000000,335.000000,345.000000,289.993896,31354000
2009-06-26,340.000000,355.000000,335.000000,340.000000,285.791107,15712000
2009-06-29,335.000000,340.000000,330.000000,335.000000,281.588257,6904500
2009-06-30,340.000000,360.000000,340.000000,340.000000,285.791107,46562500
2009-07-01,345.000000,355.000000,340.000000,345.000000,289.993896,19460000
2009-07-02,345.000000,355.000000,335.000000,340.000000,285.791107,35020500
2009-07-03,340.000000,340.000000,330.000000,340.000000,285.791107,18227500
2009-07-06,325.000000,335.000000,315.000000,325.000000,273.182678,15515000
2009-07-07,335.000000,340.000000,325.000000,335.000000,281.588257,18670500
2009-07-08,null,null,null,null,null,null
2009-07-09,330.000000,340.000000,325.000000,330.000000,277.385468,17121500
2009-07-10,330.000000,335.000000,320.000000,325.000000,273.182678,29303000
2009-07-13,310.000000,325.000000,300.000000,310.000000,260.574188,22402000
2009-07-14,310.000000,315.000000,305.000000,310.000000,260.574188,16932000
2009-07-15,315.000000,335.000000,310.000000,335.000000,281.588257,55645500
2009-07-16,340.000000,350.000000,320.000000,320.000000,268.979828,51555500
2009-07-17,320.000000,330.000000,310.000000,320.000000,268.979828,28479000
2009-07-20,null,null,null,null,null,null
2009-07-21,330.000000,335.000000,325.000000,330.000000,277.385468,12408500
2009-07-22,335.000000,345.000000,325.000000,335.000000,281.588257,36900500
2009-07-23,335.000000,340.000000,325.000000,335.000000,281.588257,19448500
2009-07-24,335.000000,340.000000,330.000000,335.000000,281.588257,16583500
2009-07-27,335.000000,340.000000,330.000000,335.000000,281.588257,9745500
2009-07-28,335.000000,345.000000,330.000000,335.000000,281.588257,31694500
2009-07-29,335.000000,335.000000,325.000000,335.000000,281.588257,17763000
2009-07-30,350.000000,360.000000,335.000000,350.000000,294.196686,112605500
2009-07-31,355.000000,360.000000,345.000000,355.000000,298.399536,56363000
2009-08-03,365.000000,375.000000,350.000000,365.000000,306.805206,69859000
2009-08-04,365.000000,375.000000,360.000000,365.000000,306.805206,36149500
2009-08-05,365.000000,370.000000,360.000000,365.000000,306.805206,22670000
2009-08-06,370.000000,370.000000,360.000000,370.000000,311.007965,16883000
2009-08-07,360.000000,370.000000,360.000000,360.000000,302.602325,11278500
2009-08-10,365.000000,385.000000,365.000000,385.000000,323.616394,118960500
2009-08-11,370.000000,385.000000,370.000000,370.000000,311.007965,25294000
2009-08-12,370.000000,370.000000,355.000000,365.000000,306.805206,26087500
2009-08-13,370.000000,375.000000,365.000000,370.000000,311.007965,19787500
2009-08-14,375.000000,380.000000,365.000000,375.000000,315.210754,29790000
2009-08-18,370.000000,370.000000,360.000000,370.000000,311.007965,15800500
2009-08-19,355.000000,375.000000,355.000000,355.000000,298.399536,31364000
2009-08-20,365.000000,370.000000,360.000000,365.000000,306.805206,15294500
2009-08-21,355.000000,365.000000,355.000000,355.000000,298.399536,7743000
2009-08-24,365.000000,365.000000,360.000000,365.000000,306.805206,10158500
2009-08-25,365.000000,375.000000,360.000000,365.000000,306.805206,27813000
2009-08-26,360.000000,370.000000,360.000000,360.000000,302.602325,6756500
2009-08-27,360.000000,360.000000,355.000000,360.000000,302.602325,6360500
2009-08-28,360.000000,365.000000,355.000000,360.000000,302.602325,7504000
2009-08-31,350.000000,355.000000,350.000000,350.000000,294.196686,15991000
2009-09-01,345.000000,355.000000,345.000000,345.000000,289.993896,9806000
2009-09-02,335.000000,340.000000,330.000000,335.000000,281.588257,22758500
2009-09-03,350.000000,350.000000,335.000000,350.000000,294.196686,16030500
2009-09-04,340.000000,350.000000,340.000000,340.000000,285.791107,5770500
2009-09-07,340.000000,345.000000,335.000000,340.000000,285.791107,3285000
2009-09-08,345.000000,350.000000,340.000000,345.000000,289.993896,12583500
2009-09-09,345.000000,360.000000,345.000000,345.000000,289.993896,21635000
2009-09-10,350.000000,365.000000,350.000000,350.000000,294.196686,32434500
2009-09-11,355.000000,360.000000,350.000000,355.000000,298.399536,8335000
2009-09-14,345.000000,355.000000,345.000000,345.000000,289.993896,6500000
2009-09-15,345.000000,355.000000,345.000000,345.000000,289.993896,5284000
2009-09-16,355.000000,355.000000,345.000000,355.000000,298.399536,7395500
2009-09-17,350.000000,355.000000,345.000000,350.000000,294.196686,8862000
2009-09-24,345.000000,355.000000,345.000000,345.000000,289.993896,12074500
2009-09-25,355.000000,355.000000,345.000000,355.000000,298.399536,3710000
2009-09-28,350.000000,355.000000,345.000000,350.000000,294.196686,4295000
2009-09-29,355.000000,355.000000,350.000000,355.000000,298.399536,4906500
2009-09-30,355.000000,355.000000,345.000000,355.000000,298.399536,11681000
2009-10-01,345.000000,355.000000,345.000000,345.000000,289.993896,7799500
2009-10-02,350.000000,350.000000,340.000000,350.000000,294.196686,8055000
2009-10-05,350.000000,355.000000,345.000000,350.000000,294.196686,7730500
2009-10-06,360.000000,360.000000,350.000000,360.000000,302.602325,35625000
2009-10-07,355.000000,360.000000,350.000000,355.000000,298.399536,22618500
2009-10-08,350.000000,355.000000,345.000000,350.000000,294.196686,6814500
2009-10-09,350.000000,355.000000,345.000000,350.000000,294.196686,6790000
2009-10-12,350.000000,350.000000,345.000000,350.000000,294.196686,5037500
2009-10-13,350.000000,350.000000,345.000000,350.000000,294.196686,9845500
2009-10-14,350.000000,350.000000,345.000000,350.000000,294.196686,4732500
2009-10-15,345.000000,355.000000,345.000000,345.000000,289.993896,7625000
2009-10-16,345.000000,355.000000,345.000000,345.000000,289.993896,5246500
2009-10-19,350.000000,355.000000,345.000000,350.000000,294.196686,5969000
2009-10-20,350.000000,355.000000,345.000000,350.000000,294.196686,6212500
2009-10-21,345.000000,345.000000,340.000000,345.000000,289.993896,12942000
2009-10-22,340.000000,345.000000,335.000000,340.000000,285.791107,8965000
2009-10-23,340.000000,340.000000,335.000000,340.000000,285.791107,8249500
2009-10-26,340.000000,345.000000,335.000000,340.000000,285.791107,4385500
2009-10-27,325.000000,335.000000,325.000000,325.000000,273.182678,13479500
2009-10-28,315.000000,325.000000,305.000000,315.000000,264.777069,17143000
