Date,Open,High,Low,Close,Adj Close,Volume
2009-06-15,2600.000000,2660.000000,2580.000000,2600.000000,468.853516,20
2009-06-16,2520.000000,2570.000000,2460.000000,2520.000000,454.427338,20
2009-06-17,2530.000000,2560.000000,2490.000000,2530.000000,456.230530,20
2009-06-18,2540.000000,2540.000000,2340.000000,2350.000000,423.771515,42460000
2009-06-19,2340.000000,2390.000000,2170.000000,2340.000000,501.086548,20
2009-06-22,2360.000000,2360.000000,2170.000000,2180.000000,466.824188,27215000
2009-06-23,2060.000000,2100.000000,2020.000000,2060.000000,441.127472,20
2009-06-24,2150.000000,2170.000000,2070.000000,2150.000000,460.400085,20
2009-06-25,2190.000000,2340.000000,2190.000000,2320.000000,496.803741,61632500
2009-06-26,2370.000000,2410.000000,2330.000000,2370.000000,507.510712,20
2009-06-29,2330.000000,2380.000000,2300.000000,2330.000000,498.945221,20
2009-06-30,2320.000000,2410.000000,2290.000000,2320.000000,496.803741,20
2009-07-01,2320.000000,2340.000000,2290.000000,2320.000000,496.803741,20
2009-07-02,2320.000000,2340.000000,2290.000000,2310.000000,494.662415,10282500
2009-07-03,2280.000000,2280.000000,2210.000000,2280.000000,488.238220,20
2009-07-06,2180.000000,2270.000000,2160.000000,2180.000000,466.824188,20
2009-07-07,2310.000000,2320.000000,2200.000000,2310.000000,494.662415,20
2009-07-08,11550.000000,11550.000000,11550.000000,11550.000000,2473.312012,0
2009-07-09,2250.000000,2340.000000,2200.000000,2250.000000,481.813995,20
2009-07-10,2250.000000,2330.000000,2240.000000,2260.000000,483.955414,26620000
2009-07-13,2190.000000,2250.000000,2100.000000,2190.000000,468.965637,20
2009-07-14,2160.000000,2250.000000,2150.000000,2160.000000,462.541473,20
2009-07-15,2270.000000,2280.000000,2190.000000,2270.000000,486.096741,20
2009-07-16,2240.000000,2330.000000,2220.000000,2240.000000,479.672577,20
2009-07-17,2240.000000,2240.000000,2160.000000,2240.000000,479.672577,20
2009-07-20,11200.000000,11200.000000,11200.000000,11200.000000,2398.363037,0
2009-07-21,2330.000000,2350.000000,2270.000000,2330.000000,498.945221,20
2009-07-22,2360.000000,2420.000000,2310.000000,2360.000000,505.369263,20
2009-07-23,2430.000000,2450.000000,2380.000000,2430.000000,520.359131,20
2009-07-24,2430.000000,2460.000000,2410.000000,2430.000000,520.359131,20
2009-07-27,2540.000000,2560.000000,2450.000000,2540.000000,543.914490,20
2009-07-28,2560.000000,2610.000000,2540.000000,2560.000000,548.197266,20
2009-07-29,2560.000000,2570.000000,2460.000000,2560.000000,548.197266,37600000
2009-07-30,2520.000000,2690.000000,2520.000000,2670.000000,571.752563,46680000
2009-07-31,2720.000000,2720.000000,2650.000000,2720.000000,582.459595,20
2009-08-03,2710.000000,2750.000000,2700.000000,2710.000000,580.318176,20
2009-08-04,2790.000000,2810.000000,2740.000000,2790.000000,597.449341,20
2009-08-05,2720.000000,2830.000000,2700.000000,2720.000000,582.459595,20
2009-08-06,2790.000000,2790.000000,2710.000000,2790.000000,597.449341,20
2009-08-07,2720.000000,2790.000000,2700.000000,2720.000000,582.459595,20
2009-08-10,2700.000000,2770.000000,2680.000000,2700.000000,578.176819,20
2009-08-11,2670.000000,2710.000000,2670.000000,2670.000000,571.752563,20
2009-08-12,2670.000000,2690.000000,2580.000000,2600.000000,556.762756,23770000
2009-08-13,2670.000000,2700.000000,2650.000000,2670.000000,571.752563,20
2009-08-14,2690.000000,2730.000000,2690.000000,2690.000000,576.035339,20
2009-08-18,2650.000000,2650.000000,2570.000000,2650.000000,567.469849,20
2009-08-19,2580.000000,2710.000000,2550.000000,2580.000000,552.480042,20
2009-08-20,2590.000000,2640.000000,2570.000000,2590.000000,554.621399,20
2009-08-21,2590.000000,2610.000000,2560.000000,2590.000000,554.621399,20
2009-08-24,2700.000000,2700.000000,2630.000000,2700.000000,578.176819,20
2009-08-25,2680.000000,2700.000000,2640.000000,2680.000000,573.893982,20
2009-08-26,2640.000000,2690.000000,2610.000000,2640.000000,565.328430,20
2009-08-27,2600.000000,2630.000000,2580.000000,2600.000000,556.762756,20
2009-08-28,2620.000000,2620.000000,2580.000000,2620.000000,561.045654,20
2009-08-31,2600.000000,2610.000000,2580.000000,2600.000000,556.762756,23317500
2009-09-01,2590.000000,2600.000000,2580.000000,2590.000000,554.621399,20
2009-09-02,2520.000000,2570.000000,2520.000000,2520.000000,539.631653,20
2009-09-03,2550.000000,2550.000000,2490.000000,2550.000000,546.055847,20
2009-09-04,2580.000000,2600.000000,2550.000000,2580.000000,552.480042,20
2009-09-07,2550.000000,2600.000000,2550.000000,2550.000000,546.055847,20
2009-09-08,2620.000000,2620.000000,2550.000000,2620.000000,561.045654,20
2009-09-09,2630.000000,2670.000000,2600.000000,2630.000000,563.187134,20
2009-09-10,2650.000000,2670.000000,2630.000000,2650.000000,567.469849,20
2009-09-11,2730.000000,2750.000000,2650.000000,2730.000000,584.601013,20
2009-09-14,2740.000000,2740.000000,2670.000000,2740.000000,586.742371,20
2009-09-15,2740.000000,2970.000000,2740.000000,2960.000000,633.853149,95047500
2009-09-16,2960.000000,3020.000000,2930.000000,2960.000000,633.853149,20
2009-09-17,2860.000000,2990.000000,2860.000000,2860.000000,612.439148,20
2009-09-24,2830.000000,2890.000000,2830.000000,2830.000000,606.014893,20
2009-09-25,2830.000000,2870.000000,2790.000000,2830.000000,606.014893,24265000
2009-09-28,2760.000000,2830.000000,2760.000000,2760.000000,591.025146,20
2009-09-29,2800.000000,2830.000000,2770.000000,2800.000000,599.590759,20
2009-09-30,2820.000000,2830.000000,2770.000000,2820.000000,603.873535,20
2009-10-01,2830.000000,2880.000000,2800.000000,2830.000000,606.014893,20
2009-10-02,2840.000000,2840.000000,2740.000000,2840.000000,608.156250,20
2009-10-05,2820.000000,2840.000000,2790.000000,2820.000000,603.873535,20
